Label,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
3,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,42,female,bachelor,WA,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
9,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,43,female,bachelor,AZ,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
10,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,44,female,master,NJ,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
3,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,45,female,master,NJ,Mobile Software Engineer,Java/C#/Objective-C/Swift
8,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,46,male,master,NJ,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
8,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,47,female,bachelor,GA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
5,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,48,female,bachelor,NJ,Mobile Software Engineer,Java/C#/Objective-C/Swift
2,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,49,male,master,NJ,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
3,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,50,male,master,NY,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,51,male,bachelor,NJ,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
8,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,52,male,bachelor,CA,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
9,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,53,male,bachelor,NJ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
4,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,54,male,master,TX,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
8,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,55,male,master,CA,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
3,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,56,male,master,GA,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,57,female,bachelor,UT,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
5,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,58,male,master,NY,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,59,male,master,TX,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
10,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,60,female,bachelor,AZ,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,61,female,master,UT,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
7,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,62,female,bachelor,AZ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
3,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,63,female,master,TX,Product Engineer,CAD/CAM
4,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,64,male,master,NJ,Mobile Software Engineer,Java/C#/Objective-C/Swift
4,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,65,male,master,WA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
10,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,66,female,master,NY,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
0,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,67,female,master,CA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,68,male,master,CA,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
2,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,69,male,bachelor,GA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
2,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,70,female,master,AZ,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,71,male,master,TX,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,72,female,bachelor,TX,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,73,male,bachelor,NY,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
1,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,74,female,master,NY,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
7,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,75,female,master,AZ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
9,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,76,female,bachelor,NY,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
7,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,77,female,bachelor,CA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,78,male,master,UT,Mobile Software Engineer,Java/C#/Objective-C/Swift
5,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,79,male,master,WA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
9,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,80,male,bachelor,AZ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
0,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,81,male,bachelor,UT,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
9,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,82,female,bachelor,NJ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
2,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,83,male,master,TX,Product Engineer,CAD/CAM
10,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,84,male,bachelor,NJ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
10,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,85,male,bachelor,TX,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
4,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,86,male,master,AZ,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,87,female,master,AZ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
5,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,88,male,bachelor,TX,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
0,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,89,female,bachelor,UT,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
3,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,90,female,master,TX,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
4,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,91,male,master,WA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
9,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,92,female,bachelor,WA,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
4,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,93,female,master,TX,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
4,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,94,male,bachelor,AZ,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
8,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,95,female,bachelor,UT,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
4,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,96,male,bachelor,TX,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
6,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,97,male,master,CA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
7,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,98,male,bachelor,UT,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
9,0,female,highschool,WA,IP/SDN/AfterEffect/TCP/IaaS/,99,female,bachelor,GA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
10,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,0,female,bachelor,TX,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
8,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,1,male,master,NJ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
1,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,2,male,master,AZ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
7,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,3,female,master,UT,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
4,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,4,male,bachelor,GA,Product Engineer,CAD/CAM
7,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,5,male,master,NJ,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
7,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,6,female,bachelor,WA,Mobile Software Engineer,Java/C#/Objective-C/Swift
5,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,7,female,master,GA,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
4,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,8,female,master,UT,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
5,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,9,female,bachelor,CA,Product Engineer,CAD/CAM
4,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,10,male,bachelor,NY,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
3,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,11,female,bachelor,GA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
5,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,12,male,bachelor,UT,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
9,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,13,male,bachelor,UT,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
0,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,14,female,bachelor,UT,Mobile Software Engineer,Java/C#/Objective-C/Swift
0,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,15,female,master,AZ,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
7,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,16,male,bachelor,NJ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
5,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,17,male,bachelor,NY,Mobile Software Engineer,Java/C#/Objective-C/Swift
0,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,18,male,bachelor,TX,Mobile Software Engineer,Java/C#/Objective-C/Swift
2,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,19,female,bachelor,UT,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
10,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,20,male,master,TX,Product Engineer,CAD/CAM
5,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,21,male,bachelor,AZ,Mobile Software Engineer,Java/C#/Objective-C/Swift
2,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,22,female,master,NJ,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
7,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,23,male,bachelor,WA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
4,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,24,female,bachelor,WA,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
7,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,25,male,bachelor,NJ,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
6,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,26,male,master,GA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
5,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,27,female,bachelor,NJ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
3,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,28,female,master,TX,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
8,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,29,male,bachelor,CA,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
10,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,30,female,master,GA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
6,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,31,female,bachelor,NY,Site Reliability Engineer,C/C++/Java/Python/Go/Perl/Ruby/Unix/Linux/TCP/IP/SDN
4,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,32,male,master,GA,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
5,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,33,male,bachelor,WA,Back-End Software Engineer,C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux/Git
3,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,34,female,master,NJ,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
6,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,35,male,bachelor,NJ,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
3,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,36,male,bachelor,NY,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
2,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,37,male,bachelor,NY,Front-End Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git
4,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,38,male,master,UT,Mobile Software Engineer,Java/C#/Objective-C/Swift
10,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,39,male,bachelor,UT,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
10,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,40,male,master,NY,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
5,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,41,male,master,NY,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
2,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,42,male,master,NJ,Product Engineer,CAD/CAM
6,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,43,female,master,CA,Full Stack Software Engineer,HTML/CSS/Javascript/RESTful APIs/Bootstrap/jQuery/Angular/React/Git/C/C++/Java/C#/Ruby/Python/Flask/Datastrcutes and Algorithms/Operating System/Linux
4,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,44,male,bachelor,TX,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
6,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,45,female,bachelor,CA,Product Engineer,CAD/CAM
5,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,46,female,master,GA,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
2,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,47,female,bachelor,NY,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
9,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,48,female,master,AZ,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
6,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,49,male,master,NJ,UX Designer,HTML/CSS/Photoshop/Illustrator/AfterEffect/Wireframing
8,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,50,female,master,UT,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
7,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,51,female,master,UT,Quality Assurance Engineer,HTML/CSS/XML/NodeJS/Angular/NoSQL
5,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,52,male,bachelor,GA,Enterprise Engineer,SOAP/REST APIs/GraphQL/React/Angular/UI/UX
1,1,female,bachelor,TX,Photoshop/Perl/AfterEffect/CSS/NodeJS/,53,female,master,TX,Sales Engineer,PaaS/IaaS/Cloud/RFI/RFP/SQL
